#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
MGYG000000756_01556	1680.BADO_1181	0.0	915.0	COG0174@1|root,COG0174@2|Bacteria,2GJ2I@201174|Actinobacteria,4CZ0G@85004|Bifidobacteriales	201174|Actinobacteria	E	glutamine synthetase	glnA2	GO:0003674,GO:0003824,GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0016787,GO:0016810,GO:0016811,GO:0044464,GO:0050001,GO:0071944	6.3.1.2	ko:K01915	ko00220,ko00250,ko00630,ko00910,ko01100,ko01120,ko01230,ko02020,ko04217,ko04724,ko04727,map00220,map00250,map00630,map00910,map01100,map01120,map01230,map02020,map04217,map04724,map04727	-	R00253	RC00010,RC02798	ko00000,ko00001,ko01000,ko04147	-	-	-	Gln-synt_C,Gln-synt_N
MGYG000000756_00079	566552.BIFCAT_01585	2.74e-165	466.0	COG1670@1|root,COG1670@2|Bacteria,2HAFI@201174|Actinobacteria,4CZRR@85004|Bifidobacteriales	201174|Actinobacteria	J	Acetyltransferase (GNAT) domain	rimJ	-	2.3.1.128	ko:K03790	-	-	-	-	ko00000,ko01000,ko03009	-	-	-	Acetyltransf_3,Acetyltransf_4
MGYG000000756_00005	566552.BIFCAT_01667	9.16e-145	408.0	COG1399@1|root,COG1399@2|Bacteria,2GJTS@201174|Actinobacteria,4CZ0J@85004|Bifidobacteriales	201174|Actinobacteria	S	Uncharacterized ACR, COG1399	-	GO:0008150,GO:0040007	-	ko:K07040	-	-	-	-	ko00000	-	-	-	DUF177
MGYG000000756_00404	356829.BITS_1697	4.19e-20	88.2	2D82H@1|root,32TQ8@2|Bacteria,2IBXS@201174|Actinobacteria,4D05K@85004|Bifidobacteriales	201174|Actinobacteria	S	Plasmid replication protein	-	-	-	-	-	-	-	-	-	-	-	-	Rep_2
MGYG000000756_00672	547043.BIFPSEUDO_04454	1.02e-184	516.0	COG0400@1|root,COG0400@2|Bacteria,2I5NR@201174|Actinobacteria,4CZJQ@85004|Bifidobacteriales	201174|Actinobacteria	S	Phospholipase/Carboxylesterase	-	-	-	ko:K06999	-	-	-	-	ko00000	-	-	-	Abhydrolase_2
MGYG000000756_01602	547043.BIFPSEUDO_02897	0.0	1108.0	COG4690@1|root,COG4690@2|Bacteria,2GM80@201174|Actinobacteria,4CYT0@85004|Bifidobacteriales	201174|Actinobacteria	E	Peptidase family C69	-	-	-	ko:K08659	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	Peptidase_C69
MGYG000000756_01152	547043.BIFPSEUDO_03845	1.11e-140	397.0	COG4721@1|root,COG4721@2|Bacteria,2IDAN@201174|Actinobacteria,4D00D@85004|Bifidobacteriales	201174|Actinobacteria	S	ABC-type cobalt transport system, permease component	ykoE	-	-	ko:K16925	-	M00582	-	-	ko00000,ko00002,ko02000	3.A.1.30	-	-	ABC_cobalt
MGYG000000756_00933	566552.BIFCAT_01144	1.91e-282	775.0	COG2271@1|root,COG2271@2|Bacteria,2I2GK@201174|Actinobacteria,4CZ0T@85004|Bifidobacteriales	201174|Actinobacteria	G	Major Facilitator Superfamily	-	-	-	-	-	-	-	-	-	-	-	-	MFS_1
MGYG000000756_01195	566552.BIFCAT_01075	0.0	1961.0	COG1615@1|root,COG1615@2|Bacteria,2GMP3@201174|Actinobacteria,4CYW1@85004|Bifidobacteriales	201174|Actinobacteria	S	Uncharacterised protein family (UPF0182)	-	GO:0005575,GO:0005576,GO:0005618,GO:0005623,GO:0005886,GO:0005887,GO:0016020,GO:0016021,GO:0030312,GO:0031224,GO:0031226,GO:0044425,GO:0044459,GO:0044464,GO:0071944	-	ko:K09118	-	-	-	-	ko00000	-	-	-	UPF0182,Usp
MGYG000000756_00835	566552.BIFCAT_00065	2.22e-43	144.0	2BFAJ@1|root,3293I@2|Bacteria,2ISGB@201174|Actinobacteria,4D185@85004|Bifidobacteriales	201174|Actinobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
