#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
MGYG000001881_02115	349741.Amuc_2110	1.79e-126	366.0	COG0461@1|root,COG0461@2|Bacteria,46YZ3@74201|Verrucomicrobia,2IU4N@203494|Verrucomicrobiae	203494|Verrucomicrobiae	F	Catalyzes the transfer of a ribosyl phosphate group from 5-phosphoribose 1-diphosphate to orotate, leading to the formation of orotidine monophosphate (OMP)	pyrE	-	2.4.2.10	ko:K00762	ko00240,ko01100,map00240,map01100	M00051	R01870	RC00611	ko00000,ko00001,ko00002,ko01000	-	-	-	Pribosyltran
MGYG000001881_00923	349741.Amuc_1267	4.53e-169	473.0	2A8AI@1|root,30XBY@2|Bacteria,46SPH@74201|Verrucomicrobia,2IU9U@203494|Verrucomicrobiae	203494|Verrucomicrobiae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000001881_02216	349741.Amuc_0887	1.44e-222	615.0	COG1071@1|root,COG1071@2|Bacteria,46UAY@74201|Verrucomicrobia,2ITWI@203494|Verrucomicrobiae	203494|Verrucomicrobiae	C	Dehydrogenase E1 component	-	-	1.2.4.1	ko:K00161	ko00010,ko00020,ko00620,ko01100,ko01110,ko01120,ko01130,ko01200,ko04066,ko04922,ko05230,map00010,map00020,map00620,map01100,map01110,map01120,map01130,map01200,map04066,map04922,map05230	M00307	R00014,R00209,R01699,R03270	RC00004,RC00027,RC00627,RC02742,RC02744,RC02882	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	E1_dh
MGYG000001881_01220	349741.Amuc_0232	3.2e-157	443.0	COG0242@1|root,COG0242@2|Bacteria,46SYF@74201|Verrucomicrobia,2IUCF@203494|Verrucomicrobiae	203494|Verrucomicrobiae	J	Removes the formyl group from the N-terminal Met of newly synthesized proteins. Requires at least a dipeptide for an efficient rate of reaction. N-terminal L-methionine is a prerequisite for activity but the enzyme has broad specificity at other positions	-	-	3.5.1.88	ko:K01462	-	-	-	-	ko00000,ko01000	-	-	-	Pep_deformylase
MGYG000001881_01141	349741.Amuc_0742	1.66e-233	643.0	COG0679@1|root,COG0679@2|Bacteria,46SPM@74201|Verrucomicrobia,2IUBD@203494|Verrucomicrobiae	203494|Verrucomicrobiae	S	Membrane transport protein	-	-	-	ko:K07088	-	-	-	-	ko00000	-	-	-	Mem_trans
MGYG000001881_00204	349741.Amuc_0470	2.44e-271	746.0	COG1104@1|root,COG1104@2|Bacteria,46TMY@74201|Verrucomicrobia,2ITTD@203494|Verrucomicrobiae	203494|Verrucomicrobiae	E	Aminotransferase class-V	-	-	2.8.1.7	ko:K04487	ko00730,ko01100,ko04122,map00730,map01100,map04122	-	R07460,R11528,R11529	RC01789,RC02313	ko00000,ko00001,ko01000,ko02048,ko03016,ko03029	-	-	-	Aminotran_5
MGYG000001881_01733	273121.WS1743	1.1e-08	61.6	COG4238@1|root,COG4238@2|Bacteria,1N4E5@1224|Proteobacteria,42USX@68525|delta/epsilon subdivisions,2YQ09@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	M	major outer membrane lipoprotein	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000001881_00745	349741.Amuc_1050	2.14e-302	829.0	COG1219@1|root,COG1219@2|Bacteria,46SIK@74201|Verrucomicrobia,2ITIB@203494|Verrucomicrobiae	203494|Verrucomicrobiae	O	ATP-dependent specificity component of the Clp protease. It directs the protease to specific substrates. Can perform chaperone functions in the absence of ClpP	clpX	-	-	ko:K03544	ko04112,map04112	-	-	-	ko00000,ko00001,ko03110	-	-	-	AAA_2,ClpB_D2-small,zf-C4_ClpX
MGYG000001881_01953	349741.Amuc_1126	0.0	904.0	COG0030@1|root,COG1443@1|root,COG0030@2|Bacteria,COG1443@2|Bacteria,46T1S@74201|Verrucomicrobia,2ITVV@203494|Verrucomicrobiae	203494|Verrucomicrobiae	IJ	Ribosomal RNA adenine dimethylases	-	-	2.1.1.182	ko:K02528	-	-	R10716	RC00003,RC03257	ko00000,ko01000,ko03009	-	-	-	NUDIX,RrnaAD
MGYG000001881_01952	349741.Amuc_1126	0.0	904.0	COG0030@1|root,COG1443@1|root,COG0030@2|Bacteria,COG1443@2|Bacteria,46T1S@74201|Verrucomicrobia,2ITVV@203494|Verrucomicrobiae	203494|Verrucomicrobiae	IJ	Ribosomal RNA adenine dimethylases	-	-	2.1.1.182	ko:K02528	-	-	R10716	RC00003,RC03257	ko00000,ko01000,ko03009	-	-	-	NUDIX,RrnaAD
