#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
MGYG000000004_00781	1232443.BAIA02000072_gene476	9.91e-80	236.0	COG1254@1|root,COG1254@2|Bacteria,1TVQ1@1239|Firmicutes,25PF3@186801|Clostridia,26CC0@186813|unclassified Clostridiales	186801|Clostridia	C	Acylphosphatase	-	-	-	-	-	-	-	-	-	-	-	-	Acylphosphatase
MGYG000000004_00542	1232443.BAIA02000121_gene2754	1.06e-123	352.0	COG1191@1|root,COG1191@2|Bacteria	2|Bacteria	K	sigma factor activity	-	-	-	-	-	-	-	-	-	-	-	-	Peptidase_S8,Sigma70_r4,Sigma70_r4_2
MGYG000000004_03468	658086.HMPREF0994_05502	6.08e-71	231.0	COG3843@1|root,COG3843@2|Bacteria,1TPRX@1239|Firmicutes,2481D@186801|Clostridia,27IPY@186928|unclassified Lachnospiraceae	186801|Clostridia	U	Relaxase/Mobilisation nuclease domain	-	-	-	-	-	-	-	-	-	-	-	-	Relaxase
MGYG000000004_02328	1232443.BAIA02000098_gene3423	6.86e-235	648.0	COG4177@1|root,COG4177@2|Bacteria,1TPMZ@1239|Firmicutes,248WH@186801|Clostridia,267MX@186813|unclassified Clostridiales	186801|Clostridia	E	Branched-chain amino acid transport system / permease component	livM1	-	-	ko:K01998	ko02010,ko02024,map02010,map02024	M00237	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.4	-	-	BPD_transp_2
MGYG000000004_02729	1232443.BAIA02000141_gene1676	0.0	1224.0	COG1783@1|root,COG1783@2|Bacteria,1TT2C@1239|Firmicutes,24A7T@186801|Clostridia,267J8@186813|unclassified Clostridiales	186801|Clostridia	S	Terminase-like family	-	-	-	-	-	-	-	-	-	-	-	-	Terminase_3,Terminase_3C,Terminase_6,Terminase_6C
MGYG000000004_02699	1232443.BAIA02000145_gene1632	1.14e-47	153.0	COG1918@1|root,COG1918@2|Bacteria,1VEHC@1239|Firmicutes,24QKE@186801|Clostridia	186801|Clostridia	P	Fe2 transport system protein A	-	-	-	ko:K04758	-	-	-	-	ko00000,ko02000	-	-	-	FeoA
MGYG000000004_01898	1232443.BAIA02000076_gene125	0.0	958.0	COG3333@1|root,COG3333@2|Bacteria,1TPE7@1239|Firmicutes,247UH@186801|Clostridia	186801|Clostridia	S	Psort location CytoplasmicMembrane, score	-	-	-	ko:K07793	ko02020,map02020	-	-	-	ko00000,ko00001,ko02000	2.A.80.1	-	-	TctA
MGYG000000004_03344	1232443.BAIA02000064_gene1090	2.26e-173	486.0	COG3639@1|root,COG3639@2|Bacteria,1TQ73@1239|Firmicutes,24AGQ@186801|Clostridia	186801|Clostridia	P	PFAM binding-protein-dependent transport systems inner membrane component	phnE_2	-	-	ko:K02042	ko02010,map02010	M00223	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.9	-	-	BPD_transp_1
MGYG000000004_01731	1232443.BAIA02000103_gene2894	2.13e-106	309.0	28MSI@1|root,2ZB0V@2|Bacteria,1UZDN@1239|Firmicutes,24FGD@186801|Clostridia,26AMT@186813|unclassified Clostridiales	186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000004_02007	1232443.BAIA02000104_gene3050	5.64e-284	776.0	COG0520@1|root,COG0520@2|Bacteria,1TQ1W@1239|Firmicutes,249CS@186801|Clostridia,267VY@186813|unclassified Clostridiales	186801|Clostridia	E	DegT/DnrJ/EryC1/StrS aminotransferase family	csd	-	-	-	-	-	-	-	-	-	-	-	Aminotran_5,Diphthami_syn_2
