#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
MGYG000000076_02059	545696.HOLDEFILI_02395	5.89e-74	229.0	2B1PF@1|root,2ZYHN@2|Bacteria,1V614@1239|Firmicutes,3VRD5@526524|Erysipelotrichia	526524|Erysipelotrichia	S	Psort location Cytoplasmic, score 8.87	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000076_03599	1256908.HMPREF0373_00679	0.0	1183.0	COG4652@1|root,COG4652@2|Bacteria,1U507@1239|Firmicutes,249H3@186801|Clostridia	186801|Clostridia	S	Psort location CytoplasmicMembrane, score	-	-	-	-	-	-	-	-	-	-	-	-	DUF1430
MGYG000000076_03600	1256908.HMPREF0373_00679	0.0	1183.0	COG4652@1|root,COG4652@2|Bacteria,1U507@1239|Firmicutes,249H3@186801|Clostridia	186801|Clostridia	S	Psort location CytoplasmicMembrane, score	-	-	-	-	-	-	-	-	-	-	-	-	DUF1430
MGYG000000076_02906	556261.HMPREF0240_02004	1.39e-84	250.0	2DZH5@1|root,32VAM@2|Bacteria,1V1MR@1239|Firmicutes,24GI9@186801|Clostridia,36KWC@31979|Clostridiaceae	186801|Clostridia	S	Protein of unknown function (DUF3851)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3851
MGYG000000076_03881	483218.BACPEC_02538	2.07e-112	324.0	28MQP@1|root,2ZAZH@2|Bacteria,1UBV0@1239|Firmicutes,24EH8@186801|Clostridia	186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000076_02812	1469948.JPNB01000002_gene2583	1.25e-171	487.0	COG0090@1|root,COG0090@2|Bacteria,1TP9X@1239|Firmicutes,247XY@186801|Clostridia,36E17@31979|Clostridiaceae	186801|Clostridia	J	One of the primary rRNA binding proteins. Required for association of the 30S and 50S subunits to form the 70S ribosome, for tRNA binding and peptide bond formation. It has been suggested to have peptidyltransferase activity	rplB	-	-	ko:K02886	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L2,Ribosomal_L2_C
MGYG000000076_01772	742765.HMPREF9457_01596	0.0	891.0	COG1966@1|root,COG1966@2|Bacteria,1TQN8@1239|Firmicutes,248DZ@186801|Clostridia,27WC8@189330|Dorea	186801|Clostridia	T	5TM C-terminal transporter carbon starvation CstA	cstA	-	-	-	-	-	-	-	-	-	-	-	CstA,CstA_5TM
MGYG000000076_00416	585394.RHOM_09880	1.41e-251	694.0	COG0282@1|root,COG0282@2|Bacteria,1TQ22@1239|Firmicutes,248ZM@186801|Clostridia	186801|Clostridia	F	Catalyzes the formation of acetyl phosphate from acetate and ATP. Can also catalyze the reverse reaction	ackA	-	2.7.2.1	ko:K00925	ko00430,ko00620,ko00640,ko00680,ko00720,ko01100,ko01120,ko01200,map00430,map00620,map00640,map00680,map00720,map01100,map01120,map01200	M00357,M00579	R00315,R01353	RC00002,RC00043	ko00000,ko00001,ko00002,ko01000	-	-	-	Acetate_kinase
MGYG000000076_03136	903814.ELI_1145	7.17e-107	327.0	COG1191@1|root,COG1191@2|Bacteria,1U0Q7@1239|Firmicutes,249NN@186801|Clostridia,25VKH@186806|Eubacteriaceae	186801|Clostridia	K	Psort location Cytoplasmic, score	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000076_02140	642492.Clole_0434	1.14e-53	170.0	COG0347@1|root,COG0347@2|Bacteria,1V73J@1239|Firmicutes,24S5C@186801|Clostridia	186801|Clostridia	K	Belongs to the P(II) protein family	-	-	-	ko:K02590	-	-	-	-	ko00000	-	-	-	P-II
MGYG000000076_01669	1121115.AXVN01000017_gene256	1.55e-13	79.0	2BDSU@1|root,327GK@2|Bacteria,1UTCR@1239|Firmicutes,258AQ@186801|Clostridia,3Y1YM@572511|Blautia	186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000076_03237	397288.C806_03715	0.0	1962.0	COG1669@1|root,COG2003@1|root,COG4227@1|root,COG1669@2|Bacteria,COG2003@2|Bacteria,COG4227@2|Bacteria,1TQN4@1239|Firmicutes,2482H@186801|Clostridia,27IQS@186928|unclassified Lachnospiraceae	186801|Clostridia	L	Psort location Cytoplasmic, score	-	-	-	-	-	-	-	-	-	-	-	-	ArdA,DUF1738,DUF3849,DUF4316,NTP_transf_2,Peptidase_M78,RadC,YodL
MGYG000000076_02449	1235793.C809_00147	1.05e-36	124.0	2FFZD@1|root,347W6@2|Bacteria,1VYY5@1239|Firmicutes,24RXZ@186801|Clostridia,27PSP@186928|unclassified Lachnospiraceae	186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000076_01984	622312.ROSEINA2194_01457	4.3e-86	258.0	COG0703@1|root,COG0703@2|Bacteria,1V3W6@1239|Firmicutes,24HKA@186801|Clostridia	186801|Clostridia	E	Catalyzes the specific phosphorylation of the 3-hydroxyl group of shikimic acid using ATP as a cosubstrate	aroK	-	2.7.1.71	ko:K00891	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230	M00022	R02412	RC00002,RC00078	ko00000,ko00001,ko00002,ko01000	-	-	-	CM_2,SKI
MGYG000000076_03045	397288.C806_03713	0.0	1783.0	COG0553@1|root,COG0827@1|root,COG2856@1|root,COG3170@1|root,COG4227@1|root,COG4646@1|root,COG0553@2|Bacteria,COG0827@2|Bacteria,COG2856@2|Bacteria,COG3170@2|Bacteria,COG4227@2|Bacteria,COG4646@2|Bacteria,1TPQA@1239|Firmicutes,2491X@186801|Clostridia,27J19@186928|unclassified Lachnospiraceae	186801|Clostridia	KL	helicase C-terminal domain protein	-	-	-	-	-	-	-	-	-	-	-	-	DUF3849,Helicase_C,N6_Mtase,ResIII,SNF2_N,YodL
MGYG000000076_01052	585394.RHOM_08055	0.0	1604.0	COG0495@1|root,COG0495@2|Bacteria,1TP0Y@1239|Firmicutes,2484Y@186801|Clostridia	186801|Clostridia	J	Belongs to the class-I aminoacyl-tRNA synthetase family	leuS	-	6.1.1.4	ko:K01869	ko00970,map00970	M00359,M00360	R03657	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016,ko03029	-	-	-	Anticodon_1,tRNA-synt_1,tRNA-synt_1_2,tRNA-synt_1g
MGYG000000076_00040	622312.ROSEINA2194_00306	0.0	893.0	COG0516@1|root,COG0517@1|root,COG0516@2|Bacteria,COG0517@2|Bacteria,1TNZ1@1239|Firmicutes,247PS@186801|Clostridia	186801|Clostridia	F	Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate- limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth	guaB	-	1.1.1.205	ko:K00088	ko00230,ko00983,ko01100,ko01110,map00230,map00983,map01100,map01110	M00050	R01130,R08240	RC00143,RC02207	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	-	CBS,IMPDH,NMO
MGYG000000076_00620	622312.ROSEINA2194_01258	1.9e-252	706.0	COG0358@1|root,COG0358@2|Bacteria,1TQKP@1239|Firmicutes,247WJ@186801|Clostridia	186801|Clostridia	L	Psort location Cytoplasmic, score	-	-	-	-	-	-	-	-	-	-	-	-	DUF3991,Toprim_2
MGYG000000076_03054	411462.DORLON_00209	1.84e-117	343.0	2BY0N@1|root,2ZBND@2|Bacteria,1TS3Y@1239|Firmicutes,24EZ3@186801|Clostridia	186801|Clostridia	S	Psort location CytoplasmicMembrane, score	-	-	-	ko:K16926	-	M00582	-	-	ko00000,ko00002,ko02000	3.A.1.31	-	-	Trep_Strep
