#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
MGYG000000215_01945	1002367.HMPREF0673_00667	0.0	1287.0	COG2987@1|root,COG2987@2|Bacteria,4NF2P@976|Bacteroidetes,2FNQK@200643|Bacteroidia	976|Bacteroidetes	E	Catalyzes the conversion of urocanate to 4-imidazolone- 5-propionate	hutU	-	4.2.1.49	ko:K01712	ko00340,ko01100,map00340,map01100	M00045	R02914	RC00804	ko00000,ko00001,ko00002,ko01000	-	-	-	Urocanase,Urocanase_C,Urocanase_N
MGYG000000215_01833	1002367.HMPREF0673_00192	7.14e-81	241.0	COG4770@1|root,COG4770@2|Bacteria,4NSWV@976|Bacteroidetes,2FRYI@200643|Bacteroidia	976|Bacteroidetes	I	first, biotin carboxylase catalyzes the carboxylation of the carrier protein and then the transcarboxylase transfers the carboxyl group to form malonyl-CoA	mmdC	-	-	-	-	-	-	-	-	-	-	-	Biotin_lipoyl
MGYG000000215_00991	1002367.HMPREF0673_01804	1.52e-254	713.0	COG0845@1|root,COG0845@2|Bacteria,4NDUH@976|Bacteroidetes,2FM9Q@200643|Bacteroidia	976|Bacteroidetes	M	Efflux transporter, RND family, MFP subunit	-	-	-	ko:K02005	-	-	-	-	ko00000	-	-	-	Biotin_lipoyl_2,HlyD,HlyD_3,HlyD_D23
MGYG000000215_01010	1002367.HMPREF0673_02482	3.79e-222	617.0	28QR3@1|root,2ZD6J@2|Bacteria,4P7S0@976|Bacteroidetes,2FZAH@200643|Bacteroidia	976|Bacteroidetes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Lipocalin_4
MGYG000000215_00505	1002367.HMPREF0673_00346	4.97e-45	146.0	2E3BY@1|root,32YBB@2|Bacteria,4NVYN@976|Bacteroidetes,2FUJP@200643|Bacteroidia	976|Bacteroidetes	S	COG NOG17489 non supervised orthologous group	-	-	-	-	-	-	-	-	-	-	-	-	DUF4492
MGYG000000215_01439	1002367.HMPREF0673_01618	8.21e-216	596.0	COG0697@1|root,COG0697@2|Bacteria,4NHQX@976|Bacteroidetes,2FM74@200643|Bacteroidia	976|Bacteroidetes	EG	Psort location CytoplasmicMembrane, score 10.00	-	-	-	ko:K08978	-	-	-	-	ko00000,ko02000	2.A.7.2	-	-	EamA
MGYG000000215_01438	1002367.HMPREF0673_01618	8.21e-216	596.0	COG0697@1|root,COG0697@2|Bacteria,4NHQX@976|Bacteroidetes,2FM74@200643|Bacteroidia	976|Bacteroidetes	EG	Psort location CytoplasmicMembrane, score 10.00	-	-	-	ko:K08978	-	-	-	-	ko00000,ko02000	2.A.7.2	-	-	EamA
MGYG000000215_02879	1002367.HMPREF0673_02385	7.79e-128	363.0	28HFG@1|root,2Z7RJ@2|Bacteria,4NFNY@976|Bacteroidetes,2FKZK@200643|Bacteroidia	976|Bacteroidetes	S	Psort location Cytoplasmic, score	-	-	-	-	-	-	-	-	-	-	-	-	DUF1599
MGYG000000215_01854	1002367.HMPREF0673_01911	2.89e-115	330.0	2DMYF@1|root,32UDM@2|Bacteria,4P2QD@976|Bacteroidetes,2FT9W@200643|Bacteroidia	976|Bacteroidetes	S	Protein of unknown function (DUF3990)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3791,DUF3990
MGYG000000215_00424	1002367.HMPREF0673_00255	5.07e-69	211.0	2DHRG@1|root,300NQ@2|Bacteria,4PHSC@976|Bacteroidetes,2FTZG@200643|Bacteroidia	976|Bacteroidetes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000215_01316	1002367.HMPREF0673_02957	5.79e-165	462.0	COG2227@1|root,COG2227@2|Bacteria,4PKW0@976|Bacteroidetes,2FNGZ@200643|Bacteroidia	976|Bacteroidetes	H	Methyltransferase domain protein	cypM_1	-	-	-	-	-	-	-	-	-	-	-	Methyltransf_11,Methyltransf_23,Methyltransf_25,Methyltransf_31
MGYG000000215_00787	1002367.HMPREF0673_03009	0.0	1036.0	COG1672@1|root,COG1672@2|Bacteria	2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AAA-ATPase_like,DUF1822,PDDEXK_9
MGYG000000215_01036	1002367.HMPREF0673_02624	0.0	1863.0	COG0457@1|root,COG0457@2|Bacteria,4NDV9@976|Bacteroidetes,2FNGB@200643|Bacteroidia	976|Bacteroidetes	D	Tetratricopeptide repeat protein	sprE	-	-	-	-	-	-	-	-	-	-	-	SPOR,TPR_1,TPR_12,TPR_16,TPR_19,TPR_2,TPR_6,TPR_7,TPR_8
MGYG000000215_00727	1235815.BAIX01000002_gene169	6.06e-227	627.0	COG0191@1|root,COG0191@2|Bacteria,4NF5C@976|Bacteroidetes,2FMMR@200643|Bacteroidia	976|Bacteroidetes	G	Fructose-1,6-bisphosphate aldolase, class II	fba	-	4.1.2.13	ko:K01624	ko00010,ko00030,ko00051,ko00680,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00030,map00051,map00680,map00710,map01100,map01110,map01120,map01130,map01200,map01230	M00001,M00003,M00165,M00167,M00344,M00345	R01068,R01070,R01829,R02568	RC00438,RC00439,RC00603,RC00604	ko00000,ko00001,ko00002,ko01000	-	-	-	F_bP_aldolase
MGYG000000215_00858	537011.PREVCOP_03501	7e-117	346.0	2EYTD@1|root,33S0K@2|Bacteria,4P1T0@976|Bacteroidetes,2FWR0@200643|Bacteroidia	976|Bacteroidetes	S	Fimbrillin-A associated anchor proteins Mfa1 and Mfa2	-	-	-	-	-	-	-	-	-	-	-	-	Mfa2
MGYG000000215_01611	1287476.HMPREF1651_05130	0.0	1018.0	COG2461@1|root,COG2461@2|Bacteria,4NJQA@976|Bacteroidetes,2FNJC@200643|Bacteroidia	976|Bacteroidetes	S	Hemerythrin HHE cation binding domain protein	-	-	-	ko:K09155	-	-	-	-	ko00000	-	-	-	DUF1858,Hemerythrin,PAS_10
MGYG000000215_01308	1002367.HMPREF0673_01722	8.75e-232	641.0	COG1929@1|root,COG1929@2|Bacteria,4NFK8@976|Bacteroidetes,2FP0A@200643|Bacteroidia	976|Bacteroidetes	G	Belongs to the glycerate kinase type-1 family	glxK	-	2.7.1.165	ko:K00865	ko00260,ko00561,ko00630,ko01100,ko01120,ko01130,map00260,map00561,map00630,map01100,map01120,map01130	-	R08572	RC00002,RC00428	ko00000,ko00001,ko01000	-	-	-	Gly_kinase
MGYG000000215_00837	1002367.HMPREF0673_01384	0.0	1345.0	COG3537@1|root,COG3537@2|Bacteria,4NDYB@976|Bacteroidetes,2FMQ9@200643|Bacteroidia	976|Bacteroidetes	G	Alpha-1,2-mannosidase	-	-	-	-	-	-	-	-	-	-	-	-	Glyco_hydro_125,Glyco_hydro_92
MGYG000000215_01044	1002367.HMPREF0673_00982	0.0	2500.0	COG0046@1|root,COG0047@1|root,COG0046@2|Bacteria,COG0047@2|Bacteria,4NETY@976|Bacteroidetes,2FM2Z@200643|Bacteroidia	976|Bacteroidetes	F	Phosphoribosylformylglycinamidine synthase involved in the purines biosynthetic pathway. Catalyzes the ATP-dependent conversion of formylglycinamide ribonucleotide (FGAR) and glutamine to yield formylglycinamidine ribonucleotide (FGAM) and glutamate	purL	-	6.3.5.3	ko:K01952	ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130	M00048	R04463	RC00010,RC01160	ko00000,ko00001,ko00002,ko01000	-	-	-	AIRS,AIRS_C,GATase_5
MGYG000000215_01043	1002367.HMPREF0673_00982	0.0	2500.0	COG0046@1|root,COG0047@1|root,COG0046@2|Bacteria,COG0047@2|Bacteria,4NETY@976|Bacteroidetes,2FM2Z@200643|Bacteroidia	976|Bacteroidetes	F	Phosphoribosylformylglycinamidine synthase involved in the purines biosynthetic pathway. Catalyzes the ATP-dependent conversion of formylglycinamide ribonucleotide (FGAR) and glutamine to yield formylglycinamidine ribonucleotide (FGAM) and glutamate	purL	-	6.3.5.3	ko:K01952	ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130	M00048	R04463	RC00010,RC01160	ko00000,ko00001,ko00002,ko01000	-	-	-	AIRS,AIRS_C,GATase_5
