#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
MGYG000000106_00775	1158606.I579_00934	1.03e-284	778.0	COG0050@1|root,COG0050@2|Bacteria,1TPKC@1239|Firmicutes,4HAEH@91061|Bacilli,4AZJZ@81852|Enterococcaceae	91061|Bacilli	J	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis	tuf	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464	-	ko:K02358	-	-	-	-	ko00000,ko03012,ko03029,ko04147	-	-	iSB619.SA_RS02960	GTP_EFTU,GTP_EFTU_D2,GTP_EFTU_D3
MGYG000000106_01815	1139996.OMQ_01674	1.04e-27	100.0	COG0267@1|root,COG0267@2|Bacteria,1VEJ4@1239|Firmicutes,4HNIM@91061|Bacilli,4B3WF@81852|Enterococcaceae	91061|Bacilli	J	Belongs to the bacterial ribosomal protein bL33 family	rpmG	-	-	ko:K02913	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L33
MGYG000000106_02532	565655.ECBG_01226	3.45e-138	391.0	COG0431@1|root,COG0431@2|Bacteria,1TPRA@1239|Firmicutes,4HDA5@91061|Bacilli,4B6CH@81852|Enterococcaceae	91061|Bacilli	S	NADPH-dependent FMN reductase	-	-	1.3.5.4,1.5.1.36	ko:K00244,ko:K19784,ko:K22394	ko00020,ko00190,ko00620,ko00650,ko00720,ko00740,ko01100,ko01110,ko01120,ko01130,ko01200,ko02020,map00020,map00190,map00620,map00650,map00720,map00740,map01100,map01110,map01120,map01130,map01200,map02020	M00009,M00011,M00150,M00173	R02164,R05705,R09748,R09750	RC00045,RC00126	ko00000,ko00001,ko00002,ko01000	-	-	-	FAD_binding_2,FMN_bind,FMN_red,PAS_10
MGYG000000106_00896	565653.EGBG_02889	1.28e-161	455.0	COG1338@1|root,COG1338@2|Bacteria,1TPIE@1239|Firmicutes,4HA79@91061|Bacilli,4B23P@81852|Enterococcaceae	91061|Bacilli	N	Plays a role in the flagellum-specific transport system	fliP	-	-	ko:K02419	ko02040,map02040	-	-	-	ko00000,ko00001,ko02035,ko02044	3.A.6.2	-	-	FliP
MGYG000000106_00707	565655.ECBG_01458	1.87e-176	493.0	COG2116@1|root,COG2116@2|Bacteria,1V164@1239|Firmicutes,4HCK8@91061|Bacilli,4AZA8@81852|Enterococcaceae	91061|Bacilli	P	Formate/nitrite transporter	-	-	-	ko:K02598	-	-	-	-	ko00000,ko02000	1.A.16.3	-	-	Form_Nir_trans
MGYG000000106_00661	565655.ECBG_01510	2.57e-133	377.0	COG0242@1|root,COG0242@2|Bacteria,1V5C6@1239|Firmicutes,4HGUI@91061|Bacilli,4B04F@81852|Enterococcaceae	91061|Bacilli	J	Removes the formyl group from the N-terminal Met of newly synthesized proteins. Requires at least a dipeptide for an efficient rate of reaction. N-terminal L-methionine is a prerequisite for activity but the enzyme has broad specificity at other positions	def	GO:0003674,GO:0003824,GO:0006464,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016787,GO:0016810,GO:0016811,GO:0018193,GO:0018206,GO:0019538,GO:0031365,GO:0036211,GO:0042586,GO:0043170,GO:0043412,GO:0043686,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0071704,GO:1901564	3.5.1.88	ko:K01462	-	-	-	-	ko00000,ko01000	-	-	-	Pep_deformylase
MGYG000000106_00597	565653.EGBG_02287	6.19e-283	775.0	COG1653@1|root,COG1653@2|Bacteria,1UI64@1239|Firmicutes,4HE5T@91061|Bacilli,4B5YC@81852|Enterococcaceae	91061|Bacilli	G	Bacterial extracellular solute-binding protein	-	-	-	ko:K02027	-	M00207	-	-	ko00000,ko00002,ko02000	3.A.1.1	-	-	SBP_bac_8
MGYG000000106_01731	565655.ECBG_01929	5.9e-191	530.0	COG1682@1|root,COG1682@2|Bacteria,1TQZF@1239|Firmicutes,4HB9R@91061|Bacilli,4AZR8@81852|Enterococcaceae	91061|Bacilli	U	Transport permease protein	tagG	GO:0006810,GO:0006869,GO:0008150,GO:0010876,GO:0015920,GO:0033036,GO:0051179,GO:0051234,GO:0071702,GO:1901264	-	ko:K09692	ko02010,map02010	M00251	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.104	-	-	ABC2_membrane
MGYG000000106_02230	565655.ECBG_00672	4.27e-20	87.4	COG4768@1|root,COG4768@2|Bacteria,1VAXN@1239|Firmicutes,4HM93@91061|Bacilli,4B2RX@81852|Enterococcaceae	91061|Bacilli	S	Bacterial protein of unknown function (DUF948)	ytxG	-	-	-	-	-	-	-	-	-	-	-	DUF2203,DUF948
MGYG000000106_00138	565655.ECBG_02489	6.89e-123	353.0	COG3212@1|root,COG3212@2|Bacteria,1VBVH@1239|Firmicutes,4HNEY@91061|Bacilli,4B2K5@81852|Enterococcaceae	91061|Bacilli	S	Peptidase propeptide and YPEB domain	-	-	-	-	-	-	-	-	-	-	-	-	PepSY
