#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
MGYG000000013_01108	657309.BXY_14620	1.12e-110	318.0	COG1956@1|root,COG1956@2|Bacteria,4NM6D@976|Bacteroidetes,2FS26@200643|Bacteroidia,4AQQT@815|Bacteroidaceae	976|Bacteroidetes	T	Psort location Cytoplasmic, score 8.96	msrC	-	1.8.4.14	ko:K08968	ko00270,map00270	-	R02025	RC00639	ko00000,ko00001,ko01000	-	-	-	GAF,GAF_2
MGYG000000013_01286	411476.BACOVA_04340	0.0	1156.0	COG0457@1|root,COG0642@1|root,COG0457@2|Bacteria,COG2205@2|Bacteria,4NZXR@976|Bacteroidetes,2FN6M@200643|Bacteroidia,4AKTR@815|Bacteroidaceae	976|Bacteroidetes	T	ATPase histidine kinase DNA gyrase B HSP90 domain protein	-	-	-	-	-	-	-	-	-	-	-	-	HATPase_c,HisKA,TPR_7,TPR_8
MGYG000000013_04068	657309.BXY_17390	0.0	1674.0	COG0425@1|root,COG0446@1|root,COG0607@1|root,COG2210@1|root,COG0425@2|Bacteria,COG0446@2|Bacteria,COG0607@2|Bacteria,COG2210@2|Bacteria,4PKEU@976|Bacteroidetes,2FKZ0@200643|Bacteroidia,4ANJU@815|Bacteroidaceae	976|Bacteroidetes	P	Belongs to the sulfur carrier protein TusA family	cdr	-	-	-	-	-	-	-	-	-	-	-	DUF1661,DrsE_2,Pyr_redox_2,Pyr_redox_dim,Rhodanese,TusA
MGYG000000013_00317	411476.BACOVA_03343	0.0	955.0	2F1XR@1|root,30MTR@2|Bacteria,4PAI6@976|Bacteroidetes,2FX17@200643|Bacteroidia,4ATS5@815|Bacteroidaceae	976|Bacteroidetes	S	Domain of unknown function (DUF4972)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4972,Laminin_G_3
MGYG000000013_03256	1235788.C802_02226	0.0	984.0	COG1904@1|root,COG1904@2|Bacteria,4NFHS@976|Bacteroidetes,2FMMW@200643|Bacteroidia,4AKR4@815|Bacteroidaceae	976|Bacteroidetes	G	glucuronate isomerase	uxaC	-	5.3.1.12	ko:K01812	ko00040,ko01100,map00040,map01100	M00061,M00631	R01482,R01983	RC00376	ko00000,ko00001,ko00002,ko01000	-	-	-	UxaC
MGYG000000013_03004	411901.BACCAC_01704	0.0	1138.0	COG5107@1|root,COG5107@2|Bacteria,4NEPG@976|Bacteroidetes,2FNHC@200643|Bacteroidia,4AKEY@815|Bacteroidaceae	976|Bacteroidetes	A	Psort location Cytoplasmic, score 8.96	-	-	-	-	-	-	-	-	-	-	-	-	DUF349
MGYG000000013_03338	449673.BACSTE_01487	3.91e-207	573.0	COG1721@1|root,COG1721@2|Bacteria,4NE2N@976|Bacteroidetes,2FNSY@200643|Bacteroidia,4AKQH@815|Bacteroidaceae	976|Bacteroidetes	S	protein (some members contain a von Willebrand factor type A (vWA) domain)	-	-	-	-	-	-	-	-	-	-	-	-	DUF58
MGYG000000013_00125	411476.BACOVA_03547	1.74e-196	548.0	COG2890@1|root,COG2890@2|Bacteria,4NDZB@976|Bacteroidetes,2FM3H@200643|Bacteroidia,4AKIX@815|Bacteroidaceae	976|Bacteroidetes	J	Methylates the class 1 translation termination release factors RF1 PrfA and RF2 PrfB on the glutamine residue of the universally conserved GGQ motif	prmC	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0008150,GO:0008152,GO:0008168,GO:0008757,GO:0016740,GO:0016741,GO:0032259,GO:0044424,GO:0044444,GO:0044464	2.1.1.297	ko:K02493	-	-	R10806	RC00003,RC03279	ko00000,ko01000,ko03012	-	-	-	Lysine_decarbox,MTS,Methyltransf_31
MGYG000000013_02977	411476.BACOVA_04864	0.0	1065.0	COG4735@1|root,COG4735@2|Bacteria,4NF74@976|Bacteroidetes,2FM2A@200643|Bacteroidia,4APM4@815|Bacteroidaceae	976|Bacteroidetes	S	Psort location	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000013_00211	411476.BACOVA_03435	0.0	1323.0	COG2382@1|root,COG2382@2|Bacteria,4NF50@976|Bacteroidetes,2G09S@200643|Bacteroidia,4AV6C@815|Bacteroidaceae	976|Bacteroidetes	P	Putative esterase	-	-	-	ko:K07214	-	-	-	-	ko00000	-	-	-	CBM_6,Esterase,Glyco_hydro_43,SASA
MGYG000000013_00838	411476.BACOVA_05313	2.94e-203	563.0	COG2367@1|root,COG2367@2|Bacteria,4NE3C@976|Bacteroidetes,2FMI6@200643|Bacteroidia,4AP3Z@815|Bacteroidaceae	976|Bacteroidetes	V	COG2367 Beta-lactamase class A	per1	-	3.5.2.6	ko:K17836	ko00311,ko01130,ko01501,map00311,map01130,map01501	M00627,M00628	R06363	RC01499	ko00000,ko00001,ko00002,ko01000,ko01504	-	-	-	Abhydrolase_3,Asp_protease_2,Beta-lactamase2
MGYG000000013_04264	411476.BACOVA_00519	1.87e-109	314.0	2C6X9@1|root,34AQQ@2|Bacteria,4P6US@976|Bacteroidetes,2FSAP@200643|Bacteroidia,4ARE5@815|Bacteroidaceae	976|Bacteroidetes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
